GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,devPct,sumCarPeKm,pct_nonWhi,categ
131759505003,25.235,9.076,3.677,3.435,39.876,24.63,34.025,Majority white
131759501002,45.901,5.115,2.829,11.77,12.014,24.377,27.304,Majority white
132099503001,42.611,10.721,1.274,8.422,11.12,20.245,20.671,Majority white
132099502003,41.23,18.723,0.439,10.61,7.788,32.788,34.304,Majority white
132099501001,44.597,12.013,1.27,6.972,9.646,22.13,11.02,Majority white
132099503002,37.283,21.076,1.632,8.173,7.716,30.469,23.768,Majority white
132099501002,40.654,14.266,1.126,11.867,7.765,25.918,7.963,Majority white
132099502002,38.945,14.376,0.266,7.474,14.071,25.985,54.992,Majority white
132099502001,37.441,11.141,0.757,4.434,17.006,16.595,28.561,Majority white
130490101013,48.298,27.062,0.255,1.455,7.707,23.836,10.823,Majority white
130490102002,63.163,17.876,0.704,1.423,7.036,25.422,3.073,Majority white
130490101012,43.487,25.156,0.96,7.494,6.121,33.556,38.558,Majority white
130490101011,13.337,80.975,0.109,0.429,1.97,38.218,26.446,Majority white
130490101023,22.972,14.654,1.843,4.168,33.603,28.455,46.571,Majority white
130490101021,8.643,1.176,0.279,0.25,84.404,14.071,45.064,Majority white
130490102003,59.288,12.736,1.555,1.331,7.557,25.602,2.873,Majority white
130490101022,17.665,22.788,4.232,9.565,31.342,28.752,35.358,Majority white
131530201112,1.144,0.095,0,0.191,91.119,12.906,44.012,Majority white
131530201101,4.129,0.37,0,7.148,82.447,12.249,71.857,Majority Minority
131530211083,0.081,0.363,0,0.061,92.788,6.939,12.669,Majority white
131530211162,0,0,0,0.61,98.855,7.594,66.353,Majority white
131530211181,0,0,0,0,94.051,4.521,51.908,Majority white
131530201102,0,0,0,1.014,82.438,7.695,68.145,Majority white
131530214011,9.12,20.115,0.112,7.55,36.003,32.283,13.48,Majority white
131530211204,1.627,0.67,0,2.871,88.776,19.721,32.419,Majority white
131530212061,2.515,8.622,0,0.449,86.763,17.759,68.467,Majority white
131530212051,17.121,1.704,0.064,4.694,54.034,16.539,27.791,Majority white
131530211153,11.864,0.882,0.85,2.56,78.61,23.677,23.888,Majority white
131530211143,6.918,3.569,1.015,0.186,66.223,17.659,37.187,Majority white
131530211202,0,0.431,0,0,98.961,1.404,35.255,Majority white
131530210021,0.193,0.483,0,1.255,95.844,18.13,33.541,Majority white
131530201131,2.877,0,0.09,0.225,89.407,5.279,54.104,Majority white
131530211182,0,0,0,0,59.06,9.14,39.623,Majority white
131530214013,1.933,0.022,0,2.174,63.399,6.774,57.291,Majority white
131530212063,5.137,0.945,0.063,9.896,78.471,25.982,64.802,Majority white
131530211192,0.416,0.277,0,0.555,91.948,13.406,42.308,Majority white
131530212062,8.536,3.591,0.331,6.394,34.333,8.31,35.519,Majority white
131530203013,2.104,0,0,0.332,94.231,8.243,85.73,Majority Minority
131530211242,0,0,0,0.04,92.741,15.034,31.964,Majority white
131530211233,0.556,0,0,0.062,93.345,1.023,42.135,Majority white
131530211164,0,0,0,0.307,97.843,6.806,34.835,Majority white
131530210022,0,0,0,0,99.753,5.393,28.885,Majority white
131530211201,0,0,0,0,99.469,0.319,42.73,Majority white
131530211251,0.135,0,0,0.067,84.198,3.861,42.488,Majority white
131530212042,2.629,0.28,0.28,0.438,70.877,11.416,34.425,Majority white
131530210011,0,0,0,0,99.089,6.387,40.623,Majority white
131530203022,0,0,0,0.103,100.003,12.452,69.839,Majority white
131530204003,0,0,0,0.633,98.81,7.407,79.125,Majority Minority
131530212052,0,0,0,0,99.483,6.514,42.66,Majority white
131530201084,0,0,0,0,96.513,11.687,28.506,Majority white
131530201123,0,0,0,0,99.636,1.249,39.66,Majority white
131530211221,0.108,0.144,0,0,81.807,5.124,25.235,Majority white
131530201111,0,0,0,0,99.415,0.54,51.043,Majority white
131530203023,0,0,0,0,99.913,1.618,77.058,Majority Minority
131530201132,0,0,0,0,97.822,5.692,27.567,Majority white
131530203021,0,0,0,0,98.617,10.07,83.292,Majority Minority
131530203012,0,0,0,0,99.807,4.028,88.427,Majority Minority
131530203024,0,0,0,0,94.892,4.939,78.668,Majority Minority
131530211141,6.726,4.46,0.023,0.07,81.431,19.91,20.143,Majority white
131530214012,0,0,0,0,99.892,22.754,13.582,Majority white
131530211203,1.638,0.063,0,0.063,93.97,6.256,23.129,Majority white
130590020001,0,0,4.949,9.507,85.432,20.027,33.449,Majority white
132070503022,16.32,1.173,16.358,3.769,60.17,43.726,11.068,Majority white
132070503013,13.215,5.539,7.023,10.196,54.229,36.281,7.358,Majority white
132070501012,10.691,1.61,25.832,16.2,33.47,36.403,27.17,Majority white
132070501021,14.863,5.251,14.426,35.825,21.929,36.2,18.628,Majority white
130590012001,0.098,0.295,4.863,9.774,82.024,52.631,5.005,Majority white
132437901001,38.377,6.451,0.627,19.852,3.918,24.836,47.319,Majority white
130730305082,0,0,0,0,99.926,3.977,31.164,Majority white
130730304041,37.325,1.62,7.565,26.342,19.085,40.636,14.052,Majority white
130730305081,1.374,0,0,0.385,93.552,7.72,45.694,Majority white
130730301053,0,0,0.473,0.631,98.373,25.126,24.628,Majority white
130730305053,20.742,1.571,1.441,4.514,62.079,36.325,37.6,Majority white
130730303111,0.149,0.298,0.694,0.446,95.801,22.551,13.643,Majority white
130730303112,5.329,0.804,1.829,1.908,79.912,43.989,8.915,Majority white
130730301081,0.477,1.122,2.692,0.112,82.2,25.085,25.896,Majority white
130730303123,0,0,0.656,0.262,100.46,26.769,15.509,Majority white
130730301082,0,2.052,1.628,0.354,89.954,36.968,23.004,Majority white
130730305073,9.514,5.073,2.476,0.801,78.055,27.973,47.895,Majority white
130730305083,9.827,1.945,0.158,0.043,83.587,26.535,45.576,Majority white
130730304032,35.063,2.213,4.499,18.237,29.864,41.014,33.56,Majority white
130237903012,0,0,0,0,100.054,6.399,41.4,Majority white
130237903011,11.784,0.097,0,0.869,77.175,15.927,45.723,Majority white
132070501014,8.837,0.914,22.853,26.074,36.009,38.906,12.688,Majority white
132070502003,7.094,2.343,9.528,17.659,52.849,33.195,54.025,Majority white
132070501011,13.831,0.877,24.156,11.717,41.458,39.203,19.758,Majority white
132070503012,19.831,3.278,14.313,31.094,11.305,34.42,25.404,Majority white
132070501013,10.653,1.345,19.969,5.809,52.691,36.432,8.221,Majority white
132070503023,9.072,1.049,14.311,2.003,67.364,43.831,11.95,Majority white
132070503014,16.51,2.088,9.384,39.636,24.279,38.88,14.381,Majority white
132070503011,17.308,3.712,15.629,34.321,13.956,39.254,19.696,Majority white
132070501023,12.932,2.825,8.233,37.422,16.054,33.32,17.451,Majority white
132070502001,19.457,2.68,16.413,28.072,16.815,33.234,37.16,Majority white
132070501022,11.539,2.249,16.492,26.05,29.639,31.705,47.526,Majority white
132070502002,5.032,0.036,6.374,6.182,73.813,17.269,38.328,Majority white
132070503021,16.616,4.347,12.871,41.465,18.898,43.333,14.738,Majority white
132070503024,12.955,1.83,12.719,17.901,34.062,35.103,4.079,Majority white
131210101212,0,0,11.789,11.277,77.398,48.523,38.496,Majority white
131210102203,0.17,0,2.808,1.191,95.478,34.662,16.474,Majority white
131210101273,0,0,0,1.138,99.869,28.611,60.34,Majority white
131210101274,0,0.514,20.542,3.492,74.875,52.907,21.186,Majority white
131210101213,0,0,0,0,98.595,13.185,35.732,Majority white
132450109043,26.73,2.431,0.543,1.543,49.93,24.112,29.304,Majority white
131210101331,0.121,0.242,0.363,0.727,98.233,28.074,42.942,Majority white
131210102182,0.245,0.163,17.463,4.08,70.667,52.534,17.121,Majority white
131210102213,0.272,0,1.359,7.882,91.184,37.869,17.435,Majority white
132450105083,0,9.463,0,3.263,86.476,21.701,87.838,Majority Minority
132450109033,33.056,6.565,0.537,7.449,25.741,22.71,16.745,Majority white
132450109083,13.709,6.905,1.061,0,74.523,31.632,54.789,Majority white
132450106022,0.651,37.53,0.212,7.603,32.954,23.064,91.37,Majority Minority
132450109082,0.061,0.031,0,0.031,97.161,19.634,29.767,Majority white
132450109081,23.517,7.466,0.185,2.011,62.192,25.677,29.858,Majority white
132450102063,9.734,1.099,0.045,0.449,84.402,24.197,47.49,Majority white
132450109054,43.544,3.063,1.843,0.059,40.445,26.532,20.713,Majority white
131210102233,1.555,2.343,39.018,14.218,41.3,65.183,11.955,Majority white
130259602011,36.533,40.202,0.288,2.52,9.065,27.712,2.264,Majority white
132450102082,0.056,0,0,0.028,98.605,22.238,69.207,Majority white
131899504022,13.264,1.435,0.316,1.809,75.105,17.098,69.545,Majority white
131899504021,28.835,5.018,1.383,15.163,25.334,29.087,32.671,Majority white
131899504011,22.37,2.177,4.264,20.102,39.315,31.222,42.682,Majority white
131899504012,23.273,4.59,2.723,6.923,45.545,34.322,26.827,Majority white
131899504023,0.385,0,2.596,7.019,88.268,6.87,81.283,Majority Minority
130259602023,40.598,33.684,1.291,2.692,9.231,29.633,1.408,Majority white
130259602021,47.256,17.625,0.518,1.692,16.319,23.12,5.469,Majority white
130259601021,41.118,29.857,0.469,1.763,15.026,29.213,6.918,Majority white
130259601011,44.285,27.153,0.413,0.751,15.704,26.367,2.639,Majority white
130259602022,42.198,32.377,0.184,1.458,10.587,26.704,10.437,Majority white
130259603004,14.123,3.514,0.077,0.044,57.347,13.24,1.438,Majority white
130730301083,0,0,0.586,0,99.039,37.551,19.85,Majority white
130730302032,0,0,0,0,99.285,8.767,12.587,Majority white
130730301071,3.875,2.856,2.748,0.88,75.19,38.241,30.103,Majority white
130730302022,0,0,0,0,98.943,6.825,21.141,Majority white
130730305054,4.576,0.304,0.089,0.786,89.391,24.494,29.211,Majority white
130730301061,0.039,0,0.078,0.465,99.213,7.659,36.421,Majority white
130730303102,0.883,1.766,2.649,0.675,80.766,41.994,14.286,Majority white
130730303101,0.096,4.004,2.69,0.128,74.498,31.085,18.827,Majority white
130730301084,0.044,1.243,0.85,1.243,94.645,32.04,15.745,Majority white
130730301072,0.996,2.458,5.269,0.273,71.144,38.123,21.376,Majority white
130730304012,20.24,0.574,1.86,15.327,17.157,33.007,7.675,Majority white
130730303114,0.431,0.031,0.677,0.523,95.528,18.263,33.814,Majority white
130730302012,0,0,0.627,0.295,96.908,22.53,10.813,Majority white
130730305034,18.053,0.982,4.651,1.676,67.148,42.012,11.391,Majority white
