GEOID,coniferPct,ripariaPct,hardwooPct,coniHarPct,forestPct,devPct,sumCarPeKm,pct_nonWhi,categ
132719501021,49.265,9.165,0.97,6.759,66.159,21.881,30.385,69.836,Majority white
131319503004,36.805,5.849,0.74,15.103,58.497,20.293,22.243,69.701,Majority white
132470602043,7.705,2.889,34.891,9.248,54.733,36.388,44.794,69.628,Majority white
450399605022,44.795,4.697,6.058,25.902,81.452,10.251,40.158,69.594,Majority white
131339503052,14.715,1.871,15.955,31.872,64.413,24.559,33.731,69.528,Majority white
132699503021,32.294,3.077,0.358,22.297,58.026,14.477,18.267,69.388,Majority white
130879708002,26.052,10.176,8.471,11.364,56.063,8.971,25.864,69.224,Majority white
450899702001,20.569,29.825,0.392,10.128,60.914,7.625,25.227,69.16,Majority white
450679507001,20.423,52.257,0.348,7.504,80.532,5.411,40.115,69.074,Majority white
450399604021,45.596,3.186,11.074,17.471,77.327,18.547,35.238,69.045,Majority white
450399605021,42.636,2.124,5.652,10.25,60.662,29.831,30.118,69.02,Majority white
450339702001,14.99,43.567,0.023,2.86,61.44,24.717,30.719,69.014,Majority white
132639602001,31.936,4.189,11.458,41.554,89.137,4.057,40.987,68.993,Majority white
371190056172,34.338,2.841,22.608,15.424,75.211,22.486,37.702,68.942,Majority white
131414804002,44.746,3.637,4.315,28.436,81.134,5.579,35.192,68.9,Majority white
371179703003,1.962,42.957,6.819,3.74,55.478,12.89,45.841,68.861,Majority white
133019705002,55.219,2.477,5.217,20.81,83.723,7.4,37.327,68.704,Majority white
450299708002,11.153,45,5.275,16.142,77.57,3.505,35.257,68.649,Majority white
130630406061,25.36,2.068,20.231,14.238,61.897,28.666,38.661,68.63,Majority white
371319202021,15.444,32.294,2.511,15.266,65.515,4.212,40.003,68.582,Majority white
132890601022,36.572,6.825,0.933,37.188,81.518,6.728,30.46,68.539,Majority white
131979202001,40.845,3.493,0.639,23.561,68.538,6.628,24.862,68.465,Majority white
131930003001,27.491,8.779,0.503,23.329,60.102,9.346,27.805,68.333,Majority white
450699602021,14.562,41.644,1.085,10.437,67.728,7.967,29.772,68.196,Majority white
131050003002,28.125,1.446,16.006,19.451,65.028,26.801,38.605,68.044,Majority white
